Year,Avg,0,1,2,3,4,5,6,7,8,9,Other Game Totals
1976,1.50,1,,,1,,,,,,,
1977,5.91,1,,1,,2,4,,2,,,10 11 and 12 runs
1978,4.62,2,4,1,11,2,4,6,2,2,1,10 10 and 11 runs
1979,3.95,2,5,3,9,4,7,5,1,1,,10 and 10 runs
1980,4.38,,3,2,,,3,1,1,,2,
1981,4.37,1,1,6,3,4,2,1,2,2,1,12 runs
1982,4.82,2,3,4,5,5,5,4,5,4,1,13 runs
1983,4.27,2,3,4,4,3,3,2,1,,1,13 and 13 runs
1984,3.92,2,3,3,4,1,1,3,,1,1,13 runs
1985,6.29,1,1,3,6,3,1,5,1,2,3,11 11 14 16 and 17 runs
1986,2.99,3,2,3,2,1,2,,1,,,10 runs
1987,5.04,2,,2,2,5,2,3,2,1,,11 12 and 13 runs
1988,4.36,5,1,3,7,2,4,3,3,2,3,10 runs
1989,4.48,2,4,5,2,3,4,7,3,1,,12 and 12 runs
1990,4.25,2,5,5,2,3,6,3,2,2,1,18 runs
1991,3.50,1,7,5,5,3,4,2,2,1,,10 runs
1992,3.86,3,3,3,6,4,5,3,3,1,1,
1993,4.45,,3,5,6,3,7,4,3,1,1,11 runs
1994,5.29,,3,1,3,3,3,2,4,2,2,12 runs
1995,5.12,1,1,3,5,4,3,2,3,1,,10 11 11 11 and 12 runs
1996,6.37,,2,3,,1,3,2,,3,2,10 10 12 and 14 runs
1997,5.96,1,,1,2,,1,1,1,,,13 and 14 runs
1998,5.80,,,,1,,2,,1,,1,
