,Date / Box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-08-1991 *,at Pirates,1,0,0,0.00,7.0,5,1,0,0,0,2,0,0,0,0
3,04-13-1991 *,at Mets,0,1,0,3.60,5.0,6,5,2,3,0,6,0,0,0,0
4,04-19-1991 *,vs Mets,1,0,0,1.17,7.2,2,5,1,1,0,0,0,0,0,0
5,04-24-1991 *,vs Pirates,0,1,0,2.25,8.0,3,8,2,2,0,2,0,0,0,0
6,04-30-1991 *,vs Dodgers,1,0,0,0.00,9.0,7,4,0,0,0,1,0,0,0,0
9,05-06-1991 *,vs Giants,1,0,0,5.14,7.0,4,12,4,4,2,0,0,0,0,0
10,05-11-1991 *,at Padres,1,0,0,1.00,9.0,5,7,1,1,1,0,0,0,0,0
11,05-16-1991 *,at Giants,0,1,0,4.50,6.0,6,7,3,3,0,2,1,0,1,0
12,05-21-1991 *,vs Phillies,1,0,0,0.00,9.0,3,5,0,0,0,3,0,0,0,0
13,05-26-1991 *,at Cubs,0,0,0,5.68,6.1,1,8,4,4,0,3,0,0,0,0
14,05-31-1991 *,vs Cubs,0,1,0,9.00,4.0,4,7,4,4,1,0,0,0,0,0
17,06-05-1991 *,at Astros,1,0,0,1.04,8.2,7,8,1,2,0,2,0,0,0,0
18,06-10-1991 *,at Braves,1,0,0,1.29,7.0,5,6,1,1,1,1,0,0,0,0
19,06-15-1991 *,vs Braves,1,0,0,0.00,9.0,5,8,0,0,0,2,0,1,0,0
20,06-20-1991 *,at Reds,0,0,0,0.00,8.0,4,2,0,0,0,1,0,0,1,0
21,06-25-1991 *,at Mets,0,0,0,5.68,6.1,1,7,4,4,1,4,0,0,0,0
22,06-30-1991 *,vs Pirates,0,1,0,1.29,7.0,5,7,1,2,0,5,0,1,0,0
25,07-05-1991 *,at Pirates,1,0,0,3.00,9.0,2,11,3,3,0,1,1,0,0,0
26,07-12-1991 *,vs Dodgers,0,0,0,0.00,7.0,4,4,0,1,0,2,0,0,0,0
27,07-17-1991 *,vs Padres,0,1,0,8.44,5.1,4,9,5,7,0,2,0,0,0,0
28,07-23-1991 *,at Padres,0,0,0,1.12,8.0,2,6,1,1,0,4,0,0,0,0
29,07-28-1991 *,at Dodgers,1,0,0,0.00,9.0,5,0,0,0,0,0,0,0,0,0
32,08-02-1991 *,vs Phillies,0,0,0,5.14,7.0,4,6,4,4,1,2,0,0,0,0
33,08-12-1991 *,at Phillies,0,1,0,1.12,8.0,5,5,1,2,0,4,0,0,0,0
34,08-17-1991 *,vs Cardinals,1,0,0,0.00,9.0,3,6,0,0,0,2,0,0,0,0
35,08-23-1991 *,at Astros,0,1,0,7.50,6.0,5,6,5,5,0,3,1,0,0,0
36,08-28-1991 *,at Reds,0,1,0,15.00,3.0,2,6,5,5,1,1,0,0,0,0
39,09-08-1991 *,vs Reds,1,0,0,2.57,7.0,3,5,2,2,1,0,0,0,0,0
40,09-13-1991 *,at Cubs,1,0,0,2.25,8.0,5,6,2,2,0,0,0,0,0,0
41,09-18-1991 *,at Phillies,0,1,0,1.12,8.0,5,7,1,1,0,2,0,1,0,0
42,09-23-1991 *,at Cardinals,0,1,0,4.91,3.2,1,3,2,6,0,5,0,0,1,0
