,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK,link_id,Opponent_id,final_link,RS
2,04-10-1991 *,vs Astros,0,0,0,6.00,6.0,5,4,4,4,0,2,0,1,0,0,199104100.shtml,CIN,/boxes/CIN/CIN199104100.shtml,3
3,04-15-1991 *,at Padres,0,0,0,1.42,6.1,7,6,1,2,0,3,1,0,1,0,199104150.shtml,SDN,/boxes/SDN/SDN199104150.shtml,1
4,04-21-1991 *,at Braves,0,1,0,3.00,6.0,5,3,2,2,0,2,0,0,0,0,199104210.shtml,ATL,/boxes/ATL/ATL199104210.shtml,1
5,04-26-1991 *,vs Cubs,1,0,0,1.04,8.2,4,4,1,1,0,0,0,0,0,0,199104260.shtml,CIN,/boxes/CIN/CIN199104260.shtml,3
8,05-01-1991 *,vs Pirates,0,0,0,4.50,6.0,6,5,3,3,1,2,0,0,0,0,199105010.shtml,CIN,/boxes/CIN/CIN199105010.shtml,3
9,05-06-1991 *,at Pirates,0,1,0,3.00,6.0,5,6,2,2,1,3,1,0,0,0,199105060.shtml,PIT,/boxes/PIT/PIT199105060.shtml,0
10,05-11-1991 *,at Cubs,1,0,0,1.12,8.0,5,8,1,2,1,0,0,0,0,0,199105110.shtml,CHN,/boxes/CHN/CHN199105110.shtml,10
11,05-17-1991 *,vs Padres,0,0,0,4.50,6.0,8,6,3,3,0,2,0,0,0,0,199105170.shtml,CIN,/boxes/CIN/CIN199105170.shtml,3
12,05-22-1991 *,vs Giants,1,0,0,5.40,5.0,4,4,3,3,1,3,0,0,0,0,199105220.shtml,CIN,/boxes/CIN/CIN199105220.shtml,8
13,05-27-1991 *,at Giants,1,0,0,1.29,7.0,5,10,1,2,0,1,0,0,0,1,199105270.shtml,SFN,/boxes/SFN/SFN199105270.shtml,3
16,06-01-1991 *,at Dodgers,0,0,0,6.00,6.0,6,5,4,4,0,1,0,0,0,0,199106010.shtml,LAN,/boxes/LAN/LAN199106010.shtml,2
17,06-06-1991 *,vs Mets,0,0,0,3.86,7.0,3,6,3,3,1,4,0,1,0,0,199106060.shtml,CIN,/boxes/CIN/CIN199106060.shtml,2
18,06-10-1991 *,vs Phillies,1,0,0,1.00,9.0,5,4,1,3,1,2,0,0,0,0,199106100.shtml,CIN,/boxes/CIN/CIN199106100.shtml,9
19,06-15-1991 *,at Phillies,1,0,0,1.04,8.2,10,5,1,1,0,0,0,0,0,1,199106150.shtml,PHI,/boxes/PHI/PHI199106150.shtml,3
20,06-20-1991 *,vs Expos,0,0,0,0.00,6.0,8,2,0,0,0,1,0,0,0,0,199106200.shtml,CIN,/boxes/CIN/CIN199106200.shtml,0
23,07-25-1991 *,at Cubs,0,0,0,4.50,6.0,5,6,3,3,0,0,0,0,0,0,199107250.shtml,CHN,/boxes/CHN/CHN199107250.shtml,0
24,07-31-1991 *,vs Cubs,1,0,0,1.29,7.0,2,6,1,1,0,1,0,0,0,0,199107310.shtml,CIN,/boxes/CIN/CIN199107310.shtml,5
27,08-05-1991 *,vs Dodgers,1,0,0,9.00,6.0,2,9,6,6,0,5,1,0,1,1,199108050.shtml,CIN,/boxes/CIN/CIN199108050.shtml,9
28,08-10-1991 *,at Padres,0,1,0,1.29,7.0,9,7,1,1,0,0,0,0,0,0,199108100.shtml,SDN,/boxes/SDN/SDN199108100.shtml,0
29,08-15-1991 *,at Giants,0,1,0,0.00,7.0,7,4,0,2,0,2,1,0,0,1,199108150.shtml,SFN,/boxes/SFN/SFN199108150.shtml,1
30,08-20-1991 *,vs Braves,1,0,0,1.17,7.2,8,5,1,2,0,3,0,0,0,0,199108201.shtml,CIN,/boxes/CIN/CIN199108201.shtml,8
31,08-24-1991 *,at Mets,1,0,0,0.00,9.0,9,2,0,0,0,1,0,0,0,0,199108240.shtml,NYN,/boxes/NYN/NYN199108240.shtml,7
32,08-29-1991 *,vs Expos,1,0,0,3.00,6.0,4,4,2,3,1,3,0,0,0,0,199108290.shtml,CIN,/boxes/CIN/CIN199108290.shtml,5
35,09-03-1991 *,at Phillies,1,0,0,3.86,7.0,4,9,3,5,0,1,0,0,0,0,199109030.shtml,PHI,/boxes/PHI/PHI199109030.shtml,6
36,09-10-1991 *,vs Dodgers,1,0,0,0.00,6.0,2,2,0,0,0,3,0,0,0,0,199109100.shtml,CIN,/boxes/CIN/CIN199109100.shtml,6
37,09-15-1991 *,vs Astros,1,0,0,0.00,7.0,7,6,0,0,0,0,0,0,0,0,199109150.shtml,CIN,/boxes/CIN/CIN199109150.shtml,8
38,09-20-1991 *,at Astros,0,1,0,3.00,6.0,4,6,2,3,0,1,0,0,1,0,199109200.shtml,HOU,/boxes/HOU/HOU199109200.shtml,0
39,09-26-1991 *,at Braves,1,0,0,0.00,7.0,7,8,0,0,0,3,0,0,0,0,199109260.shtml,ATL,/boxes/ATL/ATL199109260.shtml,6
